,model,model_key,mnist_c_variant,accuracy
164,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,jpeg_compression,0.9912
165,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,speckle_noise,0.9853
166,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,identity,0.9933
167,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,glass_blur,0.9622
168,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,spatter,0.9689
169,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,translate,0.6198
170,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,fog,0.9881
171,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,shear,0.9789
172,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,scale,0.9531
173,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,zigzag,0.94
174,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,defocus_blur,0.9514
175,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,gaussian_noise,0.9782
176,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,contrast,0.989
177,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,canny_edges,0.7296
178,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,zoom_blur,0.9839
179,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,line,0.9137
180,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,pessimal_noise,0.9634
181,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,rotate,0.923
182,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,brightness,0.9906
183,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,shot_noise,0.9849
184,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,saturate,0.9867
185,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,motion_blur,0.9461
186,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,snow,0.985
187,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,inverse,0.259
188,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,impulse_noise,0.9716
189,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,stripe,0.9125
190,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,quantize,0.9928
191,2022-06-14_190639_VGG19_Full__it11250_e2.pt,vgg_full,frost,0.9884
