model,mnist_c_variant,accuracy,experiment
2022-04-24_004532_LCL5_d2__it10000_e2.pt,glass_blur,0.9623,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,spatter,0.9721,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,translate,0.5627,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,fog,0.9886,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,shear,0.9755,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,scale,0.9496,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,zigzag,0.9344,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,defocus_blur,0.9535,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,gaussian_noise,0.9782,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,contrast,0.9891,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,canny_edges,0.7246,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,zoom_blur,0.9809,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,line,0.9119,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,pessimal_noise,0.9667,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,rotate,0.9148,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,brightness,0.9901,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,shot_noise,0.984,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,saturate,0.9849,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,motion_blur,0.949,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,snow,0.9851,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,inverse,0.2592,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,impulse_noise,0.9712,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,stripe,0.8912,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,quantize,0.992,vgg19r_lcl5
2022-04-24_004532_LCL5_d2__it10000_e2.pt,frost,0.9872,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,pixelate,0.9727,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,dotted_line,0.9772,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,gaussian_blur,0.8801,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,elastic_transform,0.8818,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,jpeg_compression,0.9893,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,speckle_noise,0.9839,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,identity,0.991,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,glass_blur,0.9581,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,spatter,0.9696,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,translate,0.5669,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,fog,0.9863,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,shear,0.9735,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,scale,0.958,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,zigzag,0.9423,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,defocus_blur,0.9491,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,gaussian_noise,0.9776,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,contrast,0.988,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,canny_edges,0.7454,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,zoom_blur,0.9789,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,line,0.9123,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,pessimal_noise,0.9675,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,rotate,0.9158,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,brightness,0.9886,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,shot_noise,0.9846,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,saturate,0.9847,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,motion_blur,0.945,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,snow,0.983,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,inverse,0.2882,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,impulse_noise,0.9697,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,stripe,0.8977,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,quantize,0.9895,vgg19r_lcl5
2022-04-24_025236_LCL5_d2__it11250_e2.pt,frost,0.9869,vgg19r_lcl5
VGG19_2022-04-04_160910__it8750_e1.pt,pixelate,0.959,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,dotted_line,0.9403,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,gaussian_blur,0.9647,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,elastic_transform,0.8533,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,jpeg_compression,0.9751,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,speckle_noise,0.9597,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,identity,0.9771,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,glass_blur,0.9412,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,spatter,0.9442,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,translate,0.5272,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,fog,0.9238,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,shear,0.9485,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,scale,0.8975,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,zigzag,0.8499,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,defocus_blur,0.9526,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,gaussian_noise,0.9392,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,contrast,0.9591,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,canny_edges,0.6213,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,zoom_blur,0.9691,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,line,0.8333,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,pessimal_noise,0.8755,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,rotate,0.875,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,brightness,0.9555,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,shot_noise,0.9595,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,saturate,0.9533,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,motion_blur,0.9167,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,snow,0.9518,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,inverse,0.2285,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,impulse_noise,0.9175,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,stripe,0.8498,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,quantize,0.973,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,frost,0.9408,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,pixelate,0.9864,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,dotted_line,0.9569,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,gaussian_blur,0.9551,vgg19
