model,mnist_c_variant,accuracy,experiment
2022-04-23_201747_LCL5_d2__it23750_e4.pt,impulse_noise,0.9717,vgg19r_lcl5_lr1e4
2022-04-23_201747_LCL5_d2__it23750_e4.pt,line,0.9058,vgg19r_lcl5_lr1e4
2022-04-23_201747_LCL5_d2__it23750_e4.pt,gaussian_noise,0.9775,vgg19r_lcl5_lr1e4
2022-04-24_004459_LCL5_d2__it23750_e4.pt,spatter,0.9689,vgg19r_lcl5_lr1e4
2022-04-24_004459_LCL5_d2__it23750_e4.pt,shot_noise,0.9829,vgg19r_lcl5_lr1e4
2022-04-24_004459_LCL5_d2__it23750_e4.pt,pessimal_noise,0.964,vgg19r_lcl5_lr1e4
2022-04-24_004459_LCL5_d2__it23750_e4.pt,identity,0.9929,vgg19r_lcl5_lr1e4
2022-04-24_004459_LCL5_d2__it23750_e4.pt,dotted_line,0.977,vgg19r_lcl5_lr1e4
2022-04-24_004459_LCL5_d2__it23750_e4.pt,impulse_noise,0.9675,vgg19r_lcl5_lr1e4
2022-04-24_004459_LCL5_d2__it23750_e4.pt,line,0.9019,vgg19r_lcl5_lr1e4
2022-04-24_004459_LCL5_d2__it23750_e4.pt,gaussian_noise,0.9764,vgg19r_lcl5_lr1e4
2022-04-24_004532_LCL5_d2__it10000_e2.pt,spatter,0.9721,vgg19r_lcl5_lr1e4
2022-04-24_004532_LCL5_d2__it10000_e2.pt,shot_noise,0.984,vgg19r_lcl5_lr1e4
2022-04-24_004532_LCL5_d2__it10000_e2.pt,pessimal_noise,0.9667,vgg19r_lcl5_lr1e4
2022-04-24_004532_LCL5_d2__it10000_e2.pt,identity,0.9922,vgg19r_lcl5_lr1e4
2022-04-24_004532_LCL5_d2__it10000_e2.pt,dotted_line,0.9771,vgg19r_lcl5_lr1e4
2022-04-24_004532_LCL5_d2__it10000_e2.pt,impulse_noise,0.9712,vgg19r_lcl5_lr1e4
2022-04-24_004532_LCL5_d2__it10000_e2.pt,line,0.9119,vgg19r_lcl5_lr1e4
2022-04-24_004532_LCL5_d2__it10000_e2.pt,gaussian_noise,0.9782,vgg19r_lcl5_lr1e4
2022-04-24_025236_LCL5_d2__it11250_e2.pt,spatter,0.9696,vgg19r_lcl5_lr1e4
2022-04-24_025236_LCL5_d2__it11250_e2.pt,shot_noise,0.9846,vgg19r_lcl5_lr1e4
2022-04-24_025236_LCL5_d2__it11250_e2.pt,pessimal_noise,0.9675,vgg19r_lcl5_lr1e4
2022-04-24_025236_LCL5_d2__it11250_e2.pt,identity,0.991,vgg19r_lcl5_lr1e4
2022-04-24_025236_LCL5_d2__it11250_e2.pt,dotted_line,0.9772,vgg19r_lcl5_lr1e4
2022-04-24_025236_LCL5_d2__it11250_e2.pt,impulse_noise,0.9697,vgg19r_lcl5_lr1e4
2022-04-24_025236_LCL5_d2__it11250_e2.pt,line,0.9123,vgg19r_lcl5_lr1e4
2022-04-24_025236_LCL5_d2__it11250_e2.pt,gaussian_noise,0.9776,vgg19r_lcl5_lr1e4
2022-04-23_181034_LCL5_d2__it23750_e4.pt,spatter,0.9674,vgg19r_lcl5_lr3e4
2022-04-23_181034_LCL5_d2__it23750_e4.pt,shot_noise,0.9845,vgg19r_lcl5_lr3e4
2022-04-23_181034_LCL5_d2__it23750_e4.pt,pessimal_noise,0.9668,vgg19r_lcl5_lr3e4
2022-04-23_181034_LCL5_d2__it23750_e4.pt,identity,0.9937,vgg19r_lcl5_lr3e4
2022-04-23_181034_LCL5_d2__it23750_e4.pt,dotted_line,0.9735,vgg19r_lcl5_lr3e4
2022-04-23_181034_LCL5_d2__it23750_e4.pt,impulse_noise,0.9657,vgg19r_lcl5_lr3e4
2022-04-23_181034_LCL5_d2__it23750_e4.pt,line,0.8907,vgg19r_lcl5_lr3e4
2022-04-23_181034_LCL5_d2__it23750_e4.pt,gaussian_noise,0.9758,vgg19r_lcl5_lr3e4
2022-04-23_181111_LCL5_d2__it12500_e2.pt,spatter,0.9629,vgg19r_lcl5_lr3e4
2022-04-23_181111_LCL5_d2__it12500_e2.pt,shot_noise,0.9812,vgg19r_lcl5_lr3e4
2022-04-23_181111_LCL5_d2__it12500_e2.pt,pessimal_noise,0.9582,vgg19r_lcl5_lr3e4
2022-04-23_181111_LCL5_d2__it12500_e2.pt,identity,0.9914,vgg19r_lcl5_lr3e4
2022-04-23_181111_LCL5_d2__it12500_e2.pt,dotted_line,0.9757,vgg19r_lcl5_lr3e4
2022-04-23_181111_LCL5_d2__it12500_e2.pt,impulse_noise,0.9637,vgg19r_lcl5_lr3e4
2022-04-23_181111_LCL5_d2__it12500_e2.pt,line,0.9053,vgg19r_lcl5_lr3e4
2022-04-23_181111_LCL5_d2__it12500_e2.pt,gaussian_noise,0.9732,vgg19r_lcl5_lr3e4
2022-04-23_201731_LCL5_d2__it11250_e2.pt,spatter,0.966,vgg19r_lcl5_lr3e4
2022-04-23_201731_LCL5_d2__it11250_e2.pt,shot_noise,0.9834,vgg19r_lcl5_lr3e4
2022-04-23_201731_LCL5_d2__it11250_e2.pt,pessimal_noise,0.9531,vgg19r_lcl5_lr3e4
2022-04-23_201731_LCL5_d2__it11250_e2.pt,identity,0.9918,vgg19r_lcl5_lr3e4
2022-04-23_201731_LCL5_d2__it11250_e2.pt,dotted_line,0.9729,vgg19r_lcl5_lr3e4
2022-04-23_201731_LCL5_d2__it11250_e2.pt,impulse_noise,0.9658,vgg19r_lcl5_lr3e4
2022-04-23_201731_LCL5_d2__it11250_e2.pt,line,0.8936,vgg19r_lcl5_lr3e4
2022-04-23_201731_LCL5_d2__it11250_e2.pt,gaussian_noise,0.9735,vgg19r_lcl5_lr3e4
2022-04-24_071904_LCL5_d2__it22500_e4.pt,spatter,0.97,vgg19r_lcl5_lr3e4
2022-04-24_071904_LCL5_d2__it22500_e4.pt,shot_noise,0.9832,vgg19r_lcl5_lr3e4
2022-04-24_071904_LCL5_d2__it22500_e4.pt,pessimal_noise,0.9553,vgg19r_lcl5_lr3e4
2022-04-24_071904_LCL5_d2__it22500_e4.pt,identity,0.9931,vgg19r_lcl5_lr3e4
2022-04-24_071904_LCL5_d2__it22500_e4.pt,dotted_line,0.9766,vgg19r_lcl5_lr3e4
2022-04-24_071904_LCL5_d2__it22500_e4.pt,impulse_noise,0.9651,vgg19r_lcl5_lr3e4
2022-04-24_071904_LCL5_d2__it22500_e4.pt,line,0.897,vgg19r_lcl5_lr3e4
2022-04-24_071904_LCL5_d2__it22500_e4.pt,gaussian_noise,0.9759,vgg19r_lcl5_lr3e4
2022-04-24_071930_LCL5_d2__it16250_e3.pt,spatter,0.9661,vgg19r_lcl5_lr3e4
2022-04-24_071930_LCL5_d2__it16250_e3.pt,shot_noise,0.9814,vgg19r_lcl5_lr3e4
2022-04-24_071930_LCL5_d2__it16250_e3.pt,pessimal_noise,0.9622,vgg19r_lcl5_lr3e4
2022-04-24_071930_LCL5_d2__it16250_e3.pt,identity,0.9915,vgg19r_lcl5_lr3e4
2022-04-24_071930_LCL5_d2__it16250_e3.pt,dotted_line,0.9787,vgg19r_lcl5_lr3e4
2022-04-24_071930_LCL5_d2__it16250_e3.pt,impulse_noise,0.9681,vgg19r_lcl5_lr3e4
2022-04-24_071930_LCL5_d2__it16250_e3.pt,line,0.8993,vgg19r_lcl5_lr3e4
2022-04-24_071930_LCL5_d2__it16250_e3.pt,gaussian_noise,0.9748,vgg19r_lcl5_lr3e4
