,model,model_key,mnist_c_variant,accuracy
100,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,jpeg_compression,0.9902
101,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,speckle_noise,0.9855
102,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,identity,0.9923
103,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,glass_blur,0.9627
104,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,spatter,0.9716
105,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,translate,0.5755
106,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,fog,0.9869
107,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,shear,0.9757
108,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,scale,0.9538
109,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,zigzag,0.9383
110,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,defocus_blur,0.9494
111,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,gaussian_noise,0.9776
112,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,contrast,0.9887
113,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,canny_edges,0.7433
114,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,zoom_blur,0.9818
115,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,line,0.912
116,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,pessimal_noise,0.9606
117,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,rotate,0.9111
118,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,brightness,0.9894
119,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,shot_noise,0.9844
120,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,saturate,0.9849
121,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,motion_blur,0.9487
122,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,snow,0.9845
123,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,inverse,0.2843
124,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,impulse_noise,0.9699
125,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,stripe,0.9117
126,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,quantize,0.9908
127,2022-05-02_155859_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_k_change,frost,0.9864
128,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,pixelate,0.9766
129,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,dotted_line,0.9757
130,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,gaussian_blur,0.8888
131,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,elastic_transform,0.8809
132,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,jpeg_compression,0.9904
133,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,speckle_noise,0.9844
134,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,identity,0.9914
135,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,glass_blur,0.9627
136,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,spatter,0.9728
137,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,translate,0.5455
138,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,fog,0.9858
139,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,shear,0.9755
140,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,scale,0.9503
141,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,zigzag,0.9378
142,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,defocus_blur,0.9504
143,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,gaussian_noise,0.977
144,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,contrast,0.9874
145,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,canny_edges,0.7118
146,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,zoom_blur,0.9794
147,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,line,0.9103
148,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,pessimal_noise,0.9614
149,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,rotate,0.9062
150,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,brightness,0.989
151,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,shot_noise,0.9839
152,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,saturate,0.9833
153,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,motion_blur,0.9497
154,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,snow,0.9828
155,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,inverse,0.2853
156,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,impulse_noise,0.9712
157,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,stripe,0.9129
158,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,quantize,0.9902
159,2022-05-02_063619_LCL5_d2__it8750_e1.pt,vgg19r_lcl__random_k_change,frost,0.9859
160,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,pixelate,0.9747
161,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,dotted_line,0.9776
162,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,gaussian_blur,0.8916
163,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,elastic_transform,0.8926
164,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,jpeg_compression,0.9898
165,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,speckle_noise,0.9849
166,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,identity,0.9911
167,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,glass_blur,0.9614
168,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,spatter,0.9707
169,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,translate,0.5888
170,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,fog,0.9887
171,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,shear,0.976
172,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,scale,0.9626
173,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,zigzag,0.938
174,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,defocus_blur,0.9516
