,model,model_key,mnist_c_variant,accuracy
95,2022-05-04_101450_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,frost,0.9886
96,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,pixelate,0.978
97,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,dotted_line,0.98
98,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,gaussian_blur,0.8811
99,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,elastic_transform,0.8967
100,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,jpeg_compression,0.9913
101,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,speckle_noise,0.9871
102,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,identity,0.993
103,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,glass_blur,0.9631
104,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,spatter,0.9738
105,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,translate,0.6128
106,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,fog,0.9885
107,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,shear,0.9795
108,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,scale,0.9571
109,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,zigzag,0.9429
110,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,defocus_blur,0.9513
111,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,gaussian_noise,0.9801
112,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,contrast,0.9893
113,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,canny_edges,0.7255
114,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,zoom_blur,0.9832
115,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,line,0.9177
116,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,pessimal_noise,0.9663
117,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,rotate,0.9257
118,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,brightness,0.9904
119,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,shot_noise,0.9861
120,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,saturate,0.9857
121,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,motion_blur,0.9523
122,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,snow,0.9843
123,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,inverse,0.3169
124,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,impulse_noise,0.9754
125,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,stripe,0.9163
126,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,quantize,0.9921
127,2022-05-04_094600_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,frost,0.9888
128,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,pixelate,0.9764
129,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,dotted_line,0.982
130,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,gaussian_blur,0.8822
131,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,elastic_transform,0.8949
132,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,jpeg_compression,0.9917
133,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,speckle_noise,0.9862
