,model,mnist_c_variant,accuracy
125,VGG19_2022-04-04_175945__it12500_e2.pt,stripe,0.8877
126,VGG19_2022-04-04_175945__it12500_e2.pt,quantize,0.9882
127,VGG19_2022-04-04_175945__it12500_e2.pt,frost,0.9816
128,VGG19_2022-04-04_183636__it16250_e3.pt,pixelate,0.9676
129,VGG19_2022-04-04_183636__it16250_e3.pt,dotted_line,0.968
130,VGG19_2022-04-04_183636__it16250_e3.pt,gaussian_blur,0.9306
131,VGG19_2022-04-04_183636__it16250_e3.pt,elastic_transform,0.8963
132,VGG19_2022-04-04_183636__it16250_e3.pt,jpeg_compression,0.9901
133,VGG19_2022-04-04_183636__it16250_e3.pt,speckle_noise,0.9808
134,VGG19_2022-04-04_183636__it16250_e3.pt,identity,0.9919
135,VGG19_2022-04-04_183636__it16250_e3.pt,glass_blur,0.9509
136,VGG19_2022-04-04_183636__it16250_e3.pt,spatter,0.9667
137,VGG19_2022-04-04_183636__it16250_e3.pt,translate,0.6045
138,VGG19_2022-04-04_183636__it16250_e3.pt,fog,0.9871
139,VGG19_2022-04-04_183636__it16250_e3.pt,shear,0.978
140,VGG19_2022-04-04_183636__it16250_e3.pt,scale,0.9569
141,VGG19_2022-04-04_183636__it16250_e3.pt,zigzag,0.9063
142,VGG19_2022-04-04_183636__it16250_e3.pt,defocus_blur,0.9515
143,VGG19_2022-04-04_183636__it16250_e3.pt,gaussian_noise,0.9726
144,VGG19_2022-04-04_183636__it16250_e3.pt,contrast,0.9911
145,VGG19_2022-04-04_183636__it16250_e3.pt,canny_edges,0.7022
146,VGG19_2022-04-04_183636__it16250_e3.pt,zoom_blur,0.9795
147,VGG19_2022-04-04_183636__it16250_e3.pt,line,0.8683
148,VGG19_2022-04-04_183636__it16250_e3.pt,pessimal_noise,0.944
149,VGG19_2022-04-04_183636__it16250_e3.pt,rotate,0.9161
150,VGG19_2022-04-04_183636__it16250_e3.pt,brightness,0.9902
151,VGG19_2022-04-04_183636__it16250_e3.pt,shot_noise,0.978
152,VGG19_2022-04-04_183636__it16250_e3.pt,saturate,0.9828
153,VGG19_2022-04-04_183636__it16250_e3.pt,motion_blur,0.9569
154,VGG19_2022-04-04_183636__it16250_e3.pt,snow,0.9821
155,VGG19_2022-04-04_183636__it16250_e3.pt,inverse,0.2527
156,VGG19_2022-04-04_183636__it16250_e3.pt,impulse_noise,0.9602
157,VGG19_2022-04-04_183636__it16250_e3.pt,stripe,0.922
158,VGG19_2022-04-04_183636__it16250_e3.pt,quantize,0.9899
159,VGG19_2022-04-04_183636__it16250_e3.pt,frost,0.9856
160,VGG19_2022-04-04_191333__it10000_e2.pt,pixelate,0.9688
161,VGG19_2022-04-04_191333__it10000_e2.pt,dotted_line,0.9368
162,VGG19_2022-04-04_191333__it10000_e2.pt,gaussian_blur,0.9352
163,VGG19_2022-04-04_191333__it10000_e2.pt,elastic_transform,0.8683
164,VGG19_2022-04-04_191333__it10000_e2.pt,jpeg_compression,0.9866
165,VGG19_2022-04-04_191333__it10000_e2.pt,speckle_noise,0.9825
166,VGG19_2022-04-04_191333__it10000_e2.pt,identity,0.9893
167,VGG19_2022-04-04_191333__it10000_e2.pt,glass_blur,0.9494
168,VGG19_2022-04-04_191333__it10000_e2.pt,spatter,0.9757
169,VGG19_2022-04-04_191333__it10000_e2.pt,translate,0.5454
170,VGG19_2022-04-04_191333__it10000_e2.pt,fog,0.8651
171,VGG19_2022-04-04_191333__it10000_e2.pt,shear,0.9706
172,VGG19_2022-04-04_191333__it10000_e2.pt,scale,0.9427
173,VGG19_2022-04-04_191333__it10000_e2.pt,zigzag,0.8402
